0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:42:59 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:42:59 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:43:11 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/SearchResults.jsp?search-bar=awesome&submit=Search%21 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:44:34 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:44:35 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:44:35 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:44:35 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:44:39 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp?search-bar=Awesome&submit=Search%21 HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:44:39 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:44:39 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:12 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:12 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:12 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:16 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp?search-bar=Af&submit=Search%21 HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:16 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:16 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:30 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:30 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:30 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:30 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:30 -0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:35 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp?search-bar=there&submit=Search%21 HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:45:35 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:46:50 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:46:50 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:46:50 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:46:50 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:46:50 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:46:55 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:46:56 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:46:56 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:46:56 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:47:01 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp?search-bar=awesome&submit=Search%21 HTTP/1.1" 200 1379
